Virus,Q1,Q2,Q3,Q4,Q5
Alkhurma virus,2,1,1,1,1
Cache Valley virus,2,1,1,1,1
Caliciviruses,2,1,1,1,1
California encephalitis virus,2,1,1,1,1
Chapare virus,2,1,1,1,1
Chikungunya virus,2,1,1,1,1
Crimean-Congo hemorrhagic fever virus,2,1,1,1,1
Dengue virus,2,1,1,1,1
Eastern equine encephalitis virus,2,1,1,1,1
Ebola virus,2,1,1,1,1
Enterovirus D68,2,1,1,1,1
Enterovirus A71,2,1,1,1,1
Guanarito virus,2,1,1,1,1
Hantaviruses,2,1,1,1,1
Heartland virus,2,1,1,1,1
Hendra virus,2,1,1,1,1
Hepatitis A virus,2,1,1,1,1
Influenza viruses,2,1,1,1,1
Japanese encephalitis virus,2,1,1,1,1
Junin virus,2,1,1,1,1
Kyasanur Forest virus,2,1,1,1,1
LaCrosse encephalitis virus,2,1,1,1,1
Langya virus,2,0,1,1,1
Lassa virus,2,1,1,1,1
Lujo virus,2,0,1,1,1
Lymphocytic choriomeningitis virus,2,1,1,1,1
Machupo virus,2,1,1,1,1
Marburg virus,2,1,1,1,1
Mayaro virus,2,1,1,1,1
Nipah virus,2,1,1,1,1
O’nyong-nyong virus,2,0,1,1,1
Omsk hemorrhagic fever virus,2,1,1,1,1
Oropouche virus,2,1,1,1,1
Poliovirus,2,1,1,1,1
Powassan,2,0,1,1,1
Punta Toro virus,2,1,1,1,1
Rabies virus,2,1,1,1,1
Rift Valley fever virus,2,1,1,1,1
St. Louis encephalitis virus,2,1,1,1,1
Severe acute respiratory syndrome associated coronavirus,2,1,1,1,1
Severe fever with thrombocytopenia syndrome virus,2,1,1,1,1
Tick-borne encephalitis virus,2,1,1,1,1
Variola virus,2,1,1,1,1
Venezuelan equine encephalitis virus,2,1,1,1,1
West Nile virus,2,1,1,1,1
Western equine encephalitis virus,2,1,1,1,1
Yellow fever virus,2,1,1,1,1
Zika virus,2,1,1,1,1
