Virus,Q1,Q2,Q3,Q4,Q5
Alkhurma virus,0,1,1,1,0
Cache Valley virus,0,1,1,1,0
Caliciviruses,0,1,1,1,1
California encephalitis virus,2,1,1,1,1
Chapare virus,0,1,1,1,0
Chikungunya virus,2,1,1,1,1
Crimean-Congo hemorrhagic fever virus,2,1,1,1,1
Dengue virus,2,1,1,1,0
Eastern equine encephalitis virus,2,1,1,1,1
Ebola virus,0,1,1,1,5
Enterovirus D68,2,1,1,1,1
Enterovirus A71,2,1,1,1,1
Guanarito virus,0,1,1,1,1
Hantaviruses,2,1,1,1,1
Heartland virus,0,1,1,1,5
Hendra virus,0,1,1,1,0
Hepatitis A virus,2,1,1,1,1
Influenza viruses,2,1,1,1,1
Japanese encephalitis virus,2,1,1,1,1
Junin virus,2,1,1,1,0
Kyasanur Forest virus,2,1,1,5,0
LaCrosse encephalitis virus,2,1,1,1,1
Langya virus,2,1,1,1,0
Lassa virus,0,1,1,1,0
Lujo virus,0,1,1,1,1
Lymphocytic choriomeningitis virus,2,1,1,1,1
Machupo virus,2,1,1,1,0
Marburg virus,2,1,1,1,0
Mayaro virus,2,1,1,1,0
Nipah virus,0,1,1,1,0
O’nyong-nyong virus,0,1,1,1,0
Omsk hemorrhagic fever virus,2,1,1,1,1
Oropouche virus,2,1,1,1,0
Poliovirus,2,1,1,1,1
Powassan,2,1,1,1,1
Punta Toro virus,0,1,1,1,1
Rabies virus,2,1,1,1,1
Rift Valley fever virus,2,1,1,1,0
St. Louis encephalitis virus,2,1,1,1,1
Severe acute respiratory syndrome associated coronavirus,2,1,1,1,5
Severe fever with thrombocytopenia syndrome virus,2,1,1,1,1
Tick-borne encephalitis virus,2,1,1,1,1
Variola virus,2,1,1,1,0
Venezuelan equine encephalitis virus,2,1,1,1,1
West Nile virus,0,1,1,1,0
Western equine encephalitis virus,2,1,1,1,1
Yellow fever virus,2,1,1,1,1
Zika virus,0,1,1,1,5
