Virus,Q1,Q2,Q3,Q4,Q5
Alkhurma virus,2,145378,218,123,0
Cache Valley virus,2,14583,21854769,123,0
Caliciviruses,2,15348,25847,123456789,3
California encephalitis virus,0,145387,21854769,123456789,0
Chapare virus,2,14538,124,123,0
Chikungunya virus,2,145837,128547,123456789,0
Crimean-Congo hemorrhagic fever virus,2,145387,128547,123456789,0
Dengue virus,23,145837,128547,123456789,3
Eastern equine encephalitis virus,2,145378,12854769,123456789,0
Ebola virus,23,14537,128547,123456789,0
Enterovirus D68,0,15347,12754,123456789,0
Enterovirus A71,2345,35486,28546,23568,3
Guanarito virus,2,14583,128547,123,0
Hantaviruses,2,15348,12854,123456789,3
Heartland virus,0,1,12,123,0
Hendra virus,2,145378,12854769,123456789,0
Hepatitis A virus,234567890,14583,178245,123456789,0
Influenza viruses,2345,145378,128547,123456789,3
Japanese encephalitis virus,2,14583769,128547,123456789,0
Junin virus,2,145376,128564790,123456789,0
Kyasanur Forest virus,2,14537,258476192,123456789,0
LaCrosse encephalitis virus,2,1453879,218547,123456789,0
Langya virus,1,1,128,123,0
Lassa virus,2,145387,128547,123456789,0
Lujo virus,0,134587,128456789,123,0
Lymphocytic choriomeningitis virus,2,145378,128547,123456789,0
Machupo virus,2,14537,12854769,123456789,0
Marburg virus,23,145378,128547,123456789,0
Mayaro virus,2,154387,125,123,0
Nipah virus,2,14538,128547,123456789,0
O’nyong-nyong virus,2,14538,12854769,123,0
Omsk hemorrhagic fever virus,0,145378,12854769,123,0
Oropouche virus,2,14583,128547,123456789,0
Poliovirus,234567890,158437,128547,123456789,3
Powassan,0,14538,0,123456789,0
Punta Toro virus,2,1,218,123,0
Rabies virus,234567890,145837,128547,123456789,0
Rift Valley fever virus,2,14583796,12857469,123456789,0
St. Louis encephalitis virus,2,145378,12854769,123456789,0
Severe acute respiratory syndrome associated coronavirus,2385,15483,158247,2356789,0
Severe fever with thrombocytopenia syndrome virus,2,15843,12854,123456789,1
Tick-borne encephalitis virus,2,145387,128547,123456789,0
Variola virus,1,17845,218547,123456789,0
Venezuelan equine encephalitis virus,2,14583,12854769,123456789,0
West Nile virus,238,145837,128547,123456789,0
Western equine encephalitis virus,234567890,14583,258476,123456789,0
Yellow fever virus,234,145837,128547,123456789,0
Zika virus,234567890,145837,185247,123456789,0
